,Feature,Importance
0,dSASA_int,0.19462593975234685
1,dSASA_polar,0.1907324099734551
2,dSASA_hphobic,0.18633210605164244
3,dslf_fa13,0.18244236107431563
4,hbond_E_fraction,0.1680358765232523
5,hbonds_int,0.16308684122158656
6,Sc_int_area,0.15506879047353642
7,fa_intra_rep,0.15286446321322078
8,fa_intra_sol_xover4,0.15250575375159445
9,omega,0.15021022640145903
10,fa_dun,0.14928478021542402
11,delta_unsatHbonds,0.14628109125563668
12,total_score,0.144723830245853
13,fa_atr,0.14441887311854829
14,dG_separated,0.14176028834731502
15,fa_rep,0.14007302675863975
16,hbond_sr_bb,0.13967984207507778
17,fa_sol,0.1383748147699933
18,nres_all,0.1358925625659126
19,nres_int,0.13387217841000815
20,hbond_sc,0.13319152724506017
21,lk_ball_wtd,0.13193183104044076
22,ddg,0.13067575721407182
23,dG_cross,0.1303210655723083
24,side1_score,0.12865000210664873
25,complex_normalized,0.12773326873642407
26,fa_elec,0.1277156323425762
27,p_aa_pp,0.11527734822636589
28,hbond_lr_bb,0.11219579568245676
29,ref,0.10856015873190172
30,hbond_bb_sc,0.10713703555428247
31,dG_separated/dSASAx100,0.10700556099231759
32,dG_cross/dSASAx100,0.09942349331937261
33,per_residue_energy_int,0.09580254853203093
34,side2_normalized,0.0952810003673592
35,Sc,0.093229668355626
36,side2_score,0.08676466495309292
37,side1_normalized,0.08374797232602682
38,pro_close,0.06451201474985466
39,sc_value,0.06194550657770516
40,rama_prepro,0.04974346242236466
