,REAL,ANN_PREDICTED,ANN_ERROR,PREDICTION_STD,PDB_ID
0,-12.5,-10.523775,-1.9762248992919922,0.008542538,1avx
1,-13.23,-10.182486,-3.0475144195556645,0.060242176,1ay7
2,-18.58,-10.489014,-8.090986328124998,0.07685137,1emv
3,-10.68,-10.375,-0.3049999999999997,0.028095245,1kac
4,-9.08,-10.569464,1.4894637298583984,0.097681046,1zhi
5,-10.09,-10.255639,0.1656390762329103,0.023488998,2hle
6,-10.98,-10.462038,-0.5179619598388676,0.03890419,2hrk
7,-5.66,-10.187899,4.527898635864258,0.0044350624,2oob
8,-11.96,-10.288225,-1.6717748260498055,0.098193645,2oul
9,-11.26,-10.587883,-0.672117004394531,0.17773867,2uuy
10,-9.57,-10.619432,1.04943244934082,0.07096863,3bzd
