,Feature,Importance
0,hbond_sr_bb,0.25118733394856646
1,dSASA_hphobic,0.24211605951623408
2,dSASA_int,0.2103412696531895
3,Sc_int_area,0.20251377519619027
4,dslf_fa13,0.18514131730197675
5,fa_sol,0.17429334805878016
6,lk_ball_wtd,0.16832081014450093
7,dG_cross,0.1648627170510721
8,complex_normalized,0.15721224115444146
9,fa_intra_sol_xover4,0.15354997343169635
10,dG_cross/dSASAx100,0.15183902349742814
11,fa_atr,0.14989642756196864
12,fa_elec,0.1451782923726579
13,fa_rep,0.14363138134870784
14,omega,0.13900732328447532
15,fa_intra_rep,0.1389918025276448
16,nres_all,0.13729675023465163
17,pro_close,0.13454815140253334
18,hbond_lr_bb,0.1331712333380243
19,total_score,0.13148375844164614
20,p_aa_pp,0.12930903824085474
21,fa_dun,0.12608911298687459
22,hbond_bb_sc,0.12244057734632742
23,dG_separated,0.12000481248831835
24,hbond_sc,0.11821971898092798
25,per_residue_energy_int,0.11695647360309995
26,ref,0.11674300445724585
27,ddg,0.10845653177833839
28,dG_separated/dSASAx100,0.10636579313624188
29,nres_int,0.10577939476536517
30,dSASA_polar,0.10503809800055594
31,hbonds_int,0.10100847575404773
32,side2_normalized,0.09358494430471163
33,side2_score,0.09295733453617337
34,side1_normalized,0.0812228879724548
35,side1_score,0.07863634276084337
36,sc_value,0.07742815173555719
37,Sc,0.07276948195379661
38,rama_prepro,0.06361751004120576
39,hbond_E_fraction,0.04774396609158632
40,delta_unsatHbonds,0.036805938973758064
