,REAL,ANN_PREDICTED,ANN_ERROR,PREDICTION_STD,PDB_ID
0,-10.5,-9.160418,-1.3395824432373047,0.03731537,2wh6
1,-8.31,-9.571325,1.261325302124023,0.056021214,2wp3
2,-10.25,-9.6477785,-0.6022214889526367,0.004447937,3v1c
3,-9.17,-9.133108,-0.03689186096191399,0.06314421,3vfn
4,-11.92,-8.970634,-2.949365539550781,0.04021406,3wqb
5,-8.95,-9.336574,0.3865736007690437,0.027280807,4b1y
6,-9.55,-9.560855,0.010854911804198508,0.013134956,4cj0
7,-10.85,-9.969027,-0.8809734344482418,0.0076322556,4cj2
8,-10.89,-9.335012,-1.5549875640869146,0.048362255,4k5a
9,-13.06,-8.879913,-4.1800866699218755,0.014844894,4kt3
10,-11.31,-8.363558,-2.9464421844482427,0.044867992,4lzx
11,-7.05,-9.200716,2.150716018676758,0.03287649,4m0w
12,-9.0,-9.666922,0.6669216156005859,0.034229755,4nl9
13,-14.08,-10.278336,-3.8016644287109376,0.11348677,4pj2
14,-13.14,-8.777161,-4.362839355468751,0.009164333,4qlp
15,-14.58,-10.2501335,-4.329866485595703,0.08714199,4uyp
16,-10.2,-8.480528,-1.719472122192382,0.01592493,4wnd
17,-9.0,-9.982065,0.9820652008056641,0.038009644,4x33
18,-7.18,-8.556983,1.3769829940795901,0.038422585,4yl8
19,-11.8,-9.04014,-2.7598598480224616,0.026227951,4z99k
20,-7.8,-10.1068535,2.306853485107422,0.015278816,5b78
21,-10.16,-9.695698,-0.464302215576172,0.06803274,5dc4
22,-10.59,-9.290533,-1.2994669342041014,0.07741022,5djt
23,-10.64,-9.700044,-0.9399563217163092,0.025838852,5.00E+95
24,-8.37,-10.046786,1.676786308288575,0.122330666,5ep6
25,-8.95,-8.209557,-0.7404434204101555,0.049857616,5h3j
26,-9.42,-8.545102,-0.8748978805541991,0.03797531,5inb
27,-14.02,-8.888065,-5.131934661865234,0.045942307,5ma4
28,-6.78,-9.317456,2.537456245422363,0.031332016,5nt7
29,-10.25,-9.10745,-1.1425504684448242,0.013165474,5tzp
30,-9.27,-9.820592,0.5505919265747075,0.05521202,5v5h
31,-10.97,-9.634372,-1.3356282424926764,0.027894974,5xco
32,-10.1,-9.98693,-0.1130701065063473,0.0566473,5ywr
33,-6.4,-8.886196,2.486196136474609,0.031433582,6b6u
34,-11.58,-8.820602,-2.7593975830078126,0.02778101,6e3i
35,-12.07,-8.771614,-3.298385925292969,0.024353504,6e3j
36,-10.08,-9.933737,-0.14626319885253913,0.018546581,6her
37,-8.09,-10.482586,2.392585906982422,0.105389595,6jb2
38,-9.99,-9.193247,-0.7967531585693362,0.07174158,6fu9
39,-10.27,-9.4164505,-0.8535494995117183,0.025833607,6fub
40,-9.73,-9.471735,-0.25826499938964886,0.0069494247,6fud
41,-11.46,-10.641182,-0.8188180541992196,0.06831074,6j14
42,-8.27,-9.787642,1.5176415252685551,0.074839115,5imk
43,-11.52,-9.821684,-1.6983161163330074,0.052497387,5imm
44,-8.6,-10.163288,1.5632881164550785,0.012588024,5kxh
45,-7.95,-10.060118,2.110117721557617,0.009078026,5ky4
46,-8.32,-10.10066,1.7806603240966794,0.0038366318,5ky5
47,-12.78,-10.49777,-2.282229690551757,0.011353493,6ddm
48,-8.19,-10.528503,2.3385034179687505,0.08275795,6fg8
49,-12.11,-8.916901,-3.1930993652343744,0.05910349,6ne2
