,REAL,ANN_PREDICTED,ANN_ERROR,PREDICTION_STD,PDB_ID
0,-12.5,-9.996511,-2.503488540649414,0.024562359,1avx
1,-13.23,-9.879906,-3.3500942993164067,0.027719975,1ay7
2,-18.58,-9.775745,-8.804254608154295,0.09817076,1emv
3,-10.68,-10.130364,-0.5496355819702146,0.05769825,1kac
4,-9.08,-10.078106,0.9981059265136718,0.06891966,1zhi
5,-10.09,-10.052666,-0.03733428955078111,0.055028915,2hle
6,-10.98,-10.132206,-0.8477940368652348,0.056379795,2hrk
7,-5.66,-9.533582,3.873581733703613,0.03465748,2oob
8,-11.96,-9.368425,-2.5915746307373055,0.02807331,2oul
9,-11.26,-10.294294,-0.9657056427001951,0.03090334,2uuy
10,-9.57,-10.111166,0.5411660003662107,0.052340984,3bzd
