,REAL,ANN_PREDICTED,ANN_ERROR,PREDICTION_STD,PDB_ID
0,-10.17,-10.756909,0.5869093704223634,0.08020687,1bzq
1,-12.17,-10.350376,-1.8196238708496093,0.12243891,1op9
2,-11.65,-10.518888,-1.1311115264892582,0.13915491,1ri8
3,-13.8,-10.603223,-3.1967771530151374,0.12305164,1rjc
4,-10.91,-10.361561,-0.548439178466797,0.12494278,1zv5
5,-8.9,-10.317216,1.4172159194946286,0.12964916,1zvh
6,-12.08,-10.41095,-1.66905029296875,0.0985589,2bse
7,-12.75,-10.398708,-2.3512916564941406,0.08775234,3g9a
8,-12.59,-10.6128,-1.977200355529785,0.012337685,3k1k
9,-10.19,-10.109472,-0.08052772521972607,0.0035467148,3k74
10,-12.17,-10.690487,-1.4795130920410156,0.011636257,3zkq
11,-9.85,-10.532208,0.6822084426879886,0.09714794,4c57
12,-10.9,-10.4815,-0.4185003280639652,0.110349655,4c59
13,-12.28,-10.057438,-2.2225621032714837,0.10460329,4eig
14,-11.63,-10.192985,-1.4370154190063484,0.051329613,4eiz
15,-10.17,-10.3556795,0.18567951202392585,0.07796383,4i0c
16,-11.18,-10.580191,-0.5998093414306638,0.1039548,4lde
17,-13.15,-10.59964,-2.5503601074218754,0.086248875,4lgp
18,-13.59,-10.249248,-3.3407524490356444,0.059804916,4lgr
19,-13.4,-10.237112,-3.1628879547119144,0.05796051,4lgs
20,-12.26,-10.763624,-1.49637580871582,0.04761362,4lhj
21,-11.4,-10.395317,-1.0046829223632816,0.06671572,4lhq
22,-11.87,-10.299737,-1.570263023376464,0.015871048,4nbx
23,-10.81,-10.131812,-0.6781879043579107,0.008004189,4nbz
24,-10.11,-10.331332,0.2213322067260748,0.065182686,4orz
25,-7.53,-10.365892,2.83589241027832,0.031734943,4qo1
26,-12.28,-10.389111,-1.8908894348144525,0.10416174,4s10
27,-11.52,-10.349199,-1.1708007049560543,0.039141178,4w6w
28,-11.3,-10.478196,-0.8218038558959968,0.13372517,4w6x
29,-12.0,-10.779448,-1.2205524444580078,0.08363676,4w6y
30,-7.05,-10.403551,3.3535511016845705,0.115181446,4wem
31,-9.55,-10.348548,0.7985479354858391,0.06020546,4wen
32,-7.15,-10.712873,3.5628734588623043,0.06963873,4weu
33,-11.1,-10.543207,-0.5567928314208981,0.061670303,4x7f
34,-14.01,-10.369772,-3.640228042602539,0.060849667,5hgg
35,-14.05,-10.497826,-3.552174377441407,0.033774853,5hvf
36,-8.28,-10.329002,2.0490023803710944,0.0965662,5imk
37,-11.59,-10.497685,-1.0923145675659178,0.110839844,5j56
38,-14.6,-10.304557,-4.295443153381347,0.10578346,5j57
